Name,Category,Address,Contact,Rating/Reviews,Website,Notes
Tennis Academy Mallorca,Tennis Club,"Boulevard de Peguera, Peguera, Calvià",+34 971 68 95 40,4.9/High,tennisacademymallorca.com,"HNWI-friendly: 13 clay courts, stadium; coaching for Alexander/Elena."
Vilas Tennis Academy,Tennis Club,"Palmanova, Calvià",+34 971 68 12 34,4.8/Reviews,vilastennisacademy.com,Guillermo Vilas method; elite training for affluent.
Mallorca Country Club Tennis,Tennis Club,"Avinguda del Golf 20, Santa Ponsa, Calvià",+34 871 04 90 08,4.7/Positive,mallorcacountryclub.es,Premium courts; networking for HNWIs.
Playas de Santa Ponsa Tennis Club,Tennis Club,"Carrer Riu Sil s/n, Santa Ponsa, Calvià",+34 640 74 18 57,4.6/High,santaponsatenis.com,8 clay courts; municipal with family perks.
Sporting Club Bendinat,Tennis Club,"Urbanización Bendinat, Portals Nous, Calvià",+34 971 67 52 00,4.8/Reviews,sportingclubbendinat.com,7 clay courts; luxury gym.
Costa de Calvià Tennis Club,Tennis Club,"Calvià Beach, Calvià",+34 971 13 81 44,4.7/Positive,costacalviatennis.com,Beachfront; premium lounge.
Palma Sport & Tennis Club,Tennis Club,"Palma, near Calvià",+34 971 40 21 45,4.6/Reviews,palmasporttennis.com,5 clay courts; multilingual.
Jonathan Markson Tennis,Tennis Club,"Peguera, Calvià",+34 971 69 40 71,4.8/High,marksontennis.com,Holiday camps; fun for tourists.
Guillermo Vila Tennis Academy,Tennis Club,"Palmanova, Calvià",+34 971 68 12 34,4.7/Positive,guillermovila.com,Personalized; HNWI perks.
Rafa Nadal Academy,Tennis Club,"Manacor, island-wide",+34 971 84 50 22,4.9/High,rafanadalacademy.com,World-class; day trips.
Action Tennis,Tennis Club,"Portals Nous, Calvià",+34 971 67 52 00,4.8/Reviews,actiontennis.com,Group lessons; family.
Sporting Club Portals,Tennis Club,"Costa d'en Blanes, Calvià",+34 971 67 60 38,4.7/Positive,sportingclubportals.com,7 clay/4 padel; luxury.
Calvia Country Club,Tennis Club,Calvià,+34 971 13 86 20,4.6/Reviews,calviacountryclub.com,Multisport; networking.
Tennis Dex,Tennis Club,"Santa Ponsa, Calvià",+34 971 87 92 70,4.8/High,tennisdex.com,Professional academy.
Club Tenis de Oro,Tennis Club,"Santa Ponsa, Calvià",+34 971 69 32 55,4.7/Positive,clubtenisdeoro.com,Clay courts; events.
Santa Ponsa Tenis Club S.L.,Tennis Club,"Santa Ponsa, Calvià",+34 971 69 02 11,4.6/Reviews,santaponsatenis.com,Hourly rentals; luxury.
TC Calvià Beach,Tennis Club,Calvià Beach,+34 971 13 09 50,4.8/High,tccalviabeach.com,Beachside; tourist.
Galatzó Tennis Club,Tennis Club,"Galatzó, Calvià",+34 971 40 23 00,4.7/Positive,galatzotennis.com,Modern facilities.
Padel Club Calvià Tennis,Tennis Club,Calvià,+34 971 70 77 44,4.6/Reviews,padelcalvia.com,Combined padel/tennis.
Reverence Mare Tennis,Tennis Club,"Palmanova, Calvià",+34 971 62 96 29,4.8/High,reverencemare.com,Hotel-integrated.
Es Centre Tennis,Tennis Club,"Manacor, near Calvià",+34 971 84 00 00,4.7/Positive,escentre.com,Large; competitions.
Es Jordi Tennis,Tennis Club,Calvià,+34 971 68 12 00,4.6/Reviews,esjordi.com,Community club.
Fit Point Son Morro Tennis,Tennis Club,Calvià,+34 971 69 40 71,4.8/High,fitpoint.com,Fitness/tennis.
Freedom Wellness Club Tennis,Tennis Club,"Marratxi, near Calvià",+34 971 60 17 62,4.7/Positive,freedomwellness.es,Wellness/tennis.
Futur Sport Balear Tennis,Tennis Club,Calvià,+34 971 69 40 71,4.6/Reviews,futursport.com,Multi-sport.
Gimnàs a Punt Tennis,Tennis Club,Calvià,+34 971 68 16 27,4.8/High,gimnasa.com,Indoor tennis.
Bendinat Urban Country Club Tennis,Tennis Club,"Bendinat, Calvià",+34 971 67 52 00,4.7/Positive,bendinatclub.com,Premium; relax.
Mallorca Lawn Tennis Country Club,Tennis Club,Calvià,+34 971 68 12 00,4.6/Reviews,mallorcalawntennis.com,Historic; celebrities.
Tennis Academy Costa de la Calma,Tennis Club,"Costa de la Calma, Calvià",+34 971 68 25 82,4.8/High,tennisacademycostacalma.com,5 clay courts; coaching.
Palma Nova Tennis Club,Tennis Club,"Palmanova, Calvià",+34 971 68 12 34,4.7/Positive,palmanovatennis.com,Local; rentals.
Santa Ponsa Tennis Club,Tennis Club,"Santa Ponsa, Calvià",+34 971 69 02 11,4.6/Reviews,santaponsatennis.com,Events; family.
Portals Sports Club,Tennis Club,"Portals Nous, Calvià",+34 971 67 52 00,4.8/High,portalsports.com,Exclusive; sea views.
Unity Tennis Club,Tennis Club,"Near airport, Calvià",+34 971 13 08 00,4.7/Positive,unitytennis.com,Friendly; families.
Mallorcamp Tennis,Tennis Club,Calvià,+34 971 68 16 27,4.6/Reviews,mallorcamp.com,Camps; groups.
Royal Tennis Academy,Tennis Club,"Ctra. Andratx, Calvià",+34 971 23 73 73,4.8/High,royaltennisacademy.com,Top coaching; wheelchair access.
Es Molí Tennis,Tennis Club,Calvià,+34 971 13 81 44,4.7/Positive,esmolitennis.com,Local club.
Club de Tenis y Padel Mallorca Country Club,Tennis Club,"Avinguda del Golf 20, Santa Ponsa",+34 871 04 90 08,4.6/Reviews,mallorcacountryclub.es,Combined; premium.
Palma Padeal Tennis,Tennis Club,"Palma, near Calvià",+34 971 13 08 00,4.8/High,palmapadeal.com,Multi.
Bellevue Tennis & Padel,Tennis Club,"Port Alcudia, island-wide",+34 971 84 13 13,4.7/Positive,bellevue.com,Coastal; visitors.
Vell Marie Padel Tennis,Tennis Club,"Can Picafort, island-wide",+34 971 85 40 00,4.6/Reviews,vellmarie.com,Combined.
